"id","descrizione","codiceIdentificativo"
"284","Fondo rotativo imprese (FRI) per il sostegno alle imprese e gli investimenti di sviluppo","M1C3I4.2.5"
"71","Caput Mundi. Next Generation EU per grandi eventi turistici","M1C3I4.3"
"286","Roman Cultural Heritage for EU-Next Generation","M1C3I4.3.1"
"287","I percorsi Giubilari 2025","M1C3I4.3.2"
"288","La città condivisa","M1C3I4.3.3"
"289","Mitingodiverde","M1C3I4.3.4"
"290","Roma 4.0","M1C3I4.3.5"
"291","Amanotesa","M1C3I4.3.6"
"72","Criteri ambientali minimi per eventi culturali","M1C3R3.1"
"73","Ordinamento delle professioni delle guide turistiche","M1C3R4.1"
"74","Realizzazione nuovi impianti di gestione rifiuti e ammodernamento di impianti esistenti e progetti 'faro' di economia circolare","M2C1I1.1"
"76","Sviluppo logistica per i settori agroalimentare, pesca e acquacoltura, silvicoltura, floricoltura e vivaismo","M2C1I2.1"
"77","Parco Agrisolare","M2C1I2.2"
"78","Innovazione e meccanizzazione nel settore agricolo e alimentare","M2C1I2.3"
"79","Isole verdi","M2C1I3.1"
"80","Green communities","M2C1I3.2"
"81","Cultura e consapevolezza su temi e sfide ambientali","M2C1I3.3"
"407","Fondo Rotativo Contratti di Filiera (FCF) per il sostegno dei contratti di filiera dei settori agroalimentare, pesca e acquacoltura, silvicoltura, floricoltura e vivaismo","M2C1I3.4"
"507","Dispositivo per il parco agrisolare","M2C1I4"
"82","Strategia nazionale per l’economia circolare","M2C1R1.1"
"83","Programma nazionale per la gestione dei rifiuti","M2C1R1.2"
"84","Supporto tecnico alle autorità locali","M2C1R1.3"
"85","Sviluppo agro-voltaico","M2C2I1.1"
"86","Promozione rinnovabili per le comunità energetiche e l'autoconsumo","M2C2I1.2"
"88","Sviluppo bio-metano, secondo criteri per la promozione dell'economia circolare","M2C2I1.4"
"89","Rafforzamento smart grid","M2C2I2.1"
"90","Interventi su resilienza climatica delle reti","M2C2I2.2"
"91","Produzione di idrogeno in aree industriali dismesse (hydrogen valleys)","M2C2I3.1"
"94","Sperimentazione dell'idrogeno per il trasporto ferroviario e stradale","M2C2I3.4"
"95","Ricerca e sviluppo sull'idrogeno","M2C2I3.5"
"420","Ricerca e sviluppo sull'idrogeno (loans)","M2C2I3.5.1"
"421","Ricerca e sviluppo sull'idrogeno (grants)","M2C2I3.5.2"
"334","Rafforzamento mobilità ciclistica (piano nazionale delle ciclovie)","M2C2I4.1"
"333","Ciclovie Turistiche","M2C2I4.1.1"
"96","Ciclovie Urbane","M2C2I4.1.2"
"97","Sviluppo trasporto rapido di massa","M2C2I4.2"
"98","Sviluppo di infrastrutture di ricarica elettrica","M2C2I4.3"
"295","Rinnovo flotte bus e treni verdi","M2C2I4.4"
"99","Potenziamento del parco autobus regionale per il trasporto pubblico con autobus a zero emissioni","M2C2I4.4.1"
"100","Potenziamento del parco ferroviario regionale per il trasporto pubblico con treni a zero emissioni e servizio universale","M2C2I4.4.2"
"101","Rinnovo del parco veicoli dei Vigili del Fuoco","M2C2I4.4.3"
"500","Programma di rinnovo della flotta di veicoli privati e commerciali leggeri con veicoli elettrici","M2C2I4.5"
"102","Supporto al sistema produttivo per la Transizione Ecologica, le Tecnologie Net Zero e la competitività e resilienza delle filiere st rategiche","M2C2I5.1"
"501","Tecnologie a zero emissioni nette","M2C2I5.1A"
"502","Competitività e resilienza delle catene di approvvigionamento strategiche","M2C2I5.1B"
"105","Idrogeno","M2C2I5.2"
"107","Conferimento di capitale nel Green Transition Fund (GTF)","M2C2I5.4"
"108","Semplificazione delle procedure di autorizzazione per gli impianti rinnovabili onshore e offshore, nuovo quadro giuridico per sostenere la produzione da fonti rinnovabili e proroga dei tempi e dell'ammissibilità degli attuali regimi di sostegno","M2C2R1.1"
"109","Nuova normativa per promuovere la produzione e il consumo di gas rinnovabile","M2C2R1.2"
"110","Semplificazione amministrativa e riduzione degli ostacoli normativi alla diffusione dell'idrogeno","M2C2R3.1"
"111","Misure volte a promuovere la competitività dell'idrogeno","M2C2R3.2"
"112","Procedure più rapide per la valutazione dei progetti nel settore dei sistemi di trasporto pubblico locale con impianti fissi e nel settore del trasporto rapido di massa","M2C2R4.1"
"113","Costruzione di nuove scuole mediante la sostituzione di edifici","M2C3I1.1"
"114","Costruzione di edifici, riqualificazione e rafforzamento di beni immobili pubblici parzialmente o interamente utilizzati dall'ammini strazione della giustizia","M2C3I1.2"
"115","Rafforzamento dell'Ecobonus per l'efficienza energetica","M2C3I2.1"
"116","Promozione di un teleriscaldamento efficiente","M2C3I3.1"
"117","Semplificazione e accelerazione delle procedure per la realizzazione di interventi per l’efficientamento energetico","M2C3R1.1"
"118","Realizzazione di un sistema avanzato ed integrato di monitoraggio e previsione","M2C4I1.1"
"297","Misure per la gestione del rischio di alluvione e per la riduzione del rischio idrogeologico","M2C4I2.1"
"423","Misure per la gestione del rischio di alluvione e per la riduzione del rischio idrogeologico","M2C4I2.1.A1"
"424","Misure per la gestione del rischio di alluvione e per la riduzione del rischio idrogeologico - non taggato","M2C4I2.1.A2"
"120","Misure per la gestione del rischio di alluvione e per la riduzione del rischio idrogeologico","M2C4I2.1.B"
"122","Tutela e valorizzazione del verde urbano ed extraurbano","M2C4I3.1"
"123","Digitalizzazione dei parchi nazionali","M2C4I3.2"
"393","Digitalizzazione dei parchi nazionali. Conservazione della natura - monitoraggio delle pressioni e delle minacce su specie e habitat e del cambiamento climatico","M2C4I3.2.A"
