"scadenza","misura"
"440","M2C1I2.3"
"441","M2C1I2.3"
"443","M2C1I3.1"
"445","M2C1I3.1"
"446","M2C1I3.2"
"447","M2C1I3.2"
"448","M2C1I3.3"
"449","M2C1I3.3"
"455","M2C2I1.1"
"456","M2C2I1.1"
"520","M2C2R1.1"
"457","M2C2I1.2"
"458","M2C2I1.2"
"521","M2C2R1.2"
"462","M2C2I1.4"
"463","M2C2I1.4"
"464","M2C2I2.1"
"465","M2C2I2.1"
"466","M2C2I2.1"
"467","M2C2I2.1"
"468","M2C2I2.2"
"469","M2C2I2.2"
"472","M2C2I3.1"
"474","M2C2I3.1"
"522","M2C2R3.1"
"523","M2C2R3.2"
"484","M2C2I3.4"
"485","M2C2I3.4"
"487","M2C2I3.5.1"
"487","M2C2I3.5.2"
"488","M2C2I3.5.1"
"488","M2C2I3.5.2"
"489","M2C2I4.1.2"
"490","M2C2I4.2"
"491","M2C2I4.1.2"
"491","M2C2I4.1.1"
"524","M2C2R4.1"
"492","M2C2I4.2"
"493","M2C2I4.2"
"495","M2C2I4.3"
"496","M2C2I4.3"
"498","M2C2I4.3"
"499","M2C2I4.5"
"507","M2C2I4.4.3"
"501","M2C2I4.4.1"
"504","M2C2I4.4.2"
"502","M2C2I4.4.1"
"505","M2C2I4.4.2"
"503","M2C2I4.4.1"
"506","M2C2I4.4.2"
"508","M2C2I4.4.3"
"511","M2C2I5.1A"
"511","M2C2I5.1B"
"512","M2C2I5.1A"
"512","M2C2I5.1B"
"514","M2C2I5.2"
"515","M2C2I5.2"
"517","M2C2I5.4"
"518","M2C2I5.4"
"542","M2C3I2.1"
"543","M2C3I2.1"
"545","M2C3I2.1"
"549","M2C3R1.1"
"525","M2C3I1.1"
"527","M2C3I1.1"
"529","M2C3I1.1"
"536","M2C3I1.2"
"539","M2C3I1.2"
"547","M2C3I3.1"
"548","M2C3I3.1"
"550","M2C3R1.1"
"551","M2C3R1.1"
"552","M2C3R1.1"
"553","M2C3R1.1"
"555","M2C3R1.1"
"556","M2C3R1.1"
"557","M2C4I1.1"
"561","M2C4I1.1"
"569","M2C4I2.1.B"
"571","M2C4I2.1.B"
"564","M2C4I2.1.A1"
"564","M2C4I2.1.A2"
"630","M2C4R2.1"
